nomor_ulok,status,berkas_id,link_pdf,item_count,error
JZ01-2604-0009,failed,,,,Data opname_final belum tersedia untuk toko ini
KZ01-2605-AD78-R,success,205,https://drive.google.com/file/d/17wwn1XmU1XmhP4SdwGalNdI94RnZQpbn/view?usp=drivesdk,42,
LZ01-2605-0002,success,198,https://drive.google.com/file/d/1SYWnyeuZ4mJGaHRBLs04wEkRNfB-2y2H/view?usp=drivesdk,85,
TZ01-2604-1M18-R,failed,,,,Data opname_final belum tersedia untuk toko ini
UZ01-2508-0012,success,54,https://drive.google.com/file/d/1PVNPFxdsmzNcqpGvJR6HmIFAwkx3_KMD/view?usp=drivesdk,140,
