nomor_ulok,status,berkas_id,link_pdf,item_count,error
Z001-2605-0001,failed,,,,Data opname_final belum tersedia untuk toko ini
Z001-5060-1020,success,215,https://drive.google.com/file/d/1FuhNcLDpY6kDPcUwFTTIhCXZG2ykNvAF/view?usp=drivesdk,2,
