nomor_ulok,status,berkas_id,link_pdf,item_count,error
1AZ1-2507-0006,success,43,https://drive.google.com/file/d/1KU7c4Dm65qz6sdDTluvrbdC5yTt5rIns/view?usp=drivesdk,16,
1AZ1-2602-0002,success,187,https://drive.google.com/file/d/1XzVvWhwdqkZGcbV6cb7ml2PmdeeWUhiL/view?usp=drivesdk,77,
1AZ1-2602-0003,success,185,https://drive.google.com/file/d/1mFOzrMX1RFR2OZGDT0PliwIMLUS5Xowg/view?usp=drivesdk,31,
1AZ1-2602-0006,success,39,https://drive.google.com/file/d/1fsUz7vfILPkvVcNSsUvynjgjUhWsZ7vF/view?usp=drivesdk,28,
1JZ1-2601-0001,failed,,,,Masih ada 3 pekerjaan selesai yang belum masuk Opname
