nomor_ulok,status,berkas_id,link_pdf,item_count,error
2PZ1-2508-0007,success,116,https://drive.google.com/file/d/1l3EdNtnpU_T9Q8yrC1PAulS0_C7IDSuM/view?usp=drivesdk,122,
2PZ1-2602-0005,failed,,,,Data opname_final belum tersedia untuk toko ini
2PZ1-2604-0006,success,119,https://drive.google.com/file/d/1kqKrQKV9K_6uuEC8bYa3N8ezyrAu5nbQ/view?usp=drivesdk,143,
2PZ1-I034-0526,success,146,https://drive.google.com/file/d/1hbzgic6Qt-qk2jwycOFY19HJ6cFYHqCs/view?usp=drivesdk,133,
2SZ1-2508-0009,success,245,https://drive.google.com/file/d/1lcxf6UliViS6C1_ONAY3LIJc4_8owo7I/view?usp=drivesdk,139,
