nomor_ulok,status,berkas_id,link_pdf,item_count,error
UZ01-2601-0003,success,143,https://drive.google.com/file/d/1GAZtmOdQgPYdhN0M4g7UrpJfOUiSvT3k/view?usp=drivesdk,143,
UZ01-2602-0008,success,108,https://drive.google.com/file/d/1n-X_eONGC-ngWoHOFSXNaVqfoZ8YjBmA/view?usp=drivesdk,117,
UZ01-2602-0023,failed,,,,Data opname_final belum tersedia untuk toko ini
UZ01-2605-U728-R,success,56,https://drive.google.com/file/d/1E6W1PRoCHtxZFxdKCR9g4-w588_6lpEF/view?usp=drivesdk,73,
WZ01-2503-0010,failed,,,,Data opname_final belum tersedia untuk toko ini
