nomor_ulok,nama_toko,cabang,st_rows,st_pdf_rows,sipil_st_pdfs,me_st_pdfs
UZ01-2601-0003,KTR LOA LEPU,SIDOARJO BPN_SMD,2,2,1,1
UZ01-2602-0008,KTR MANGKURAJA,SIDOARJO BPN_SMD,2,2,1,1
UZ01-2602-0023,RAYA LONTAR,SIDOARJO,1,1,1,0
UZ01-2605-U728-R,U728 TRUNOJOYO SUMENEP,SIDOARJO,1,1,1,0
WZ01-2503-0010,BANDARA KUALANAMU,MEDAN,1,1,1,0
