nomor_ulok,status,berkas_id,link_pdf,item_count,error
2VZ1-2605-R378-R,success,41,https://drive.google.com/file/d/1ndyzxRNEVsQs0Qa1-xYHyKu3jSbVzlWz/view?usp=drivesdk,5,
2VZ1-2605-R413-R,success,40,https://drive.google.com/file/d/1BuegvlHlH3lO96lYvBSG2geOlFjwWHNh/view?usp=drivesdk,5,
BZ01-2602-0003,success,44,https://drive.google.com/file/d/1e1v13j6JSYy2XWIs7PlI-bshb2oSizOp/view?usp=drivesdk,27,
CZ01-2603-0001,success,50,https://drive.google.com/file/d/1kGcGsgGEUq1T296BkHJw0Q0LtMzkWIki/view?usp=drivesdk,77,
CZ01-2604-0002,success,180,https://drive.google.com/file/d/1_EWLyX9OFZ7Qqhjfpj5E-VO3qwgA62aQ/view?usp=drivesdk,105,
