"id","id_toko","nama_dokumen","link_dokumen","link_folder","created_at","drive_file_id","drive_folder_id"
19,1025,fotoExisting,https://drive.google.com/file/d/17VHy7F0XrJtxvBCpO59F-ELNwD2_junf/view?usp=drivesdk,https://drive.google.com/drive/folders/1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf,2026-05-08 13:38:56.582,"17VHy7F0XrJtxvBCpO59F-ELNwD2_junf","1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf"
20,1025,fotoExisting,https://drive.google.com/file/d/14cfKVGG0SkvT0flfTuwUeHGd1TdkjrRa/view?usp=drivesdk,https://drive.google.com/drive/folders/1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf,2026-05-08 13:38:56.582,"14cfKVGG0SkvT0flfTuwUeHGd1TdkjrRa","1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf"
21,1025,fotoExisting,https://drive.google.com/file/d/1C7HZy_owo3W21OjAC-T52Yf8N56PhM9c/view?usp=drivesdk,https://drive.google.com/drive/folders/1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf,2026-05-08 13:38:56.582,"1C7HZy_owo3W21OjAC-T52Yf8N56PhM9c","1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf"
22,1025,fotoExisting,https://drive.google.com/file/d/1WyVPRnl_NzXqrUAZBLKXPPa7MtR76kMV/view?usp=drivesdk,https://drive.google.com/drive/folders/1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf,2026-05-08 13:38:56.582,"1WyVPRnl_NzXqrUAZBLKXPPa7MtR76kMV","1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf"
23,1025,fotoExisting,https://drive.google.com/file/d/1kFI2hXRJuJQ395Aao5QduT9AVrXKWTrX/view?usp=drivesdk,https://drive.google.com/drive/folders/1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf,2026-05-08 13:38:56.582,"1kFI2hXRJuJQ395Aao5QduT9AVrXKWTrX","1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf"
24,1025,fotoExisting,https://drive.google.com/file/d/1LtaWNS85Xof9OQVZ32eMXfNDXfxZPgeD/view?usp=drivesdk,https://drive.google.com/drive/folders/1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf,2026-05-08 13:38:56.582,"1LtaWNS85Xof9OQVZ32eMXfNDXfxZPgeD","1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf"
25,1025,fotoExisting,https://drive.google.com/file/d/1pSKWexIei-wb04EGeulhq5EqeT1pY0IT/view?usp=drivesdk,https://drive.google.com/drive/folders/1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf,2026-05-08 13:38:56.582,"1pSKWexIei-wb04EGeulhq5EqeT1pY0IT","1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf"
26,1025,fotoExisting,https://drive.google.com/file/d/1G-Y2gz9yCma0pFG8zK8or7Wb_8zPs30j/view?usp=drivesdk,https://drive.google.com/drive/folders/1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf,2026-05-08 13:38:56.582,"1G-Y2gz9yCma0pFG8zK8or7Wb_8zPs30j","1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf"
27,1025,fotoExisting,https://drive.google.com/file/d/1edQhEhdznEFNgWTnMxlNbeTMqob9AfAG/view?usp=drivesdk,https://drive.google.com/drive/folders/1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf,2026-05-08 13:38:56.582,"1edQhEhdznEFNgWTnMxlNbeTMqob9AfAG","1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf"
28,1025,fotoExisting,https://drive.google.com/file/d/15XG4EyYopA_ubbLJR-4tUZ545MjoxPMo/view?usp=drivesdk,https://drive.google.com/drive/folders/1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf,2026-05-08 13:38:56.582,"15XG4EyYopA_ubbLJR-4tUZ545MjoxPMo","1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf"
29,1025,fotoExisting,https://drive.google.com/file/d/17m3nVxMrjTBkbQs_wgpEwYGHjV1_q7_R/view?usp=drivesdk,https://drive.google.com/drive/folders/1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf,2026-05-08 13:38:56.582,"17m3nVxMrjTBkbQs_wgpEwYGHjV1_q7_R","1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf"
30,1025,fotoExisting,https://drive.google.com/file/d/1fXdCoLK8Y0s3-RVgrZz6gKLa5FBj6mMl/view?usp=drivesdk,https://drive.google.com/drive/folders/1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf,2026-05-08 13:38:56.582,"1fXdCoLK8Y0s3-RVgrZz6gKLa5FBj6mMl","1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf"
31,1025,fotoExisting,https://drive.google.com/file/d/1gpqqpOxMB5otpRnTId_bYcXTj5GXEu6x/view?usp=drivesdk,https://drive.google.com/drive/folders/1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf,2026-05-08 13:38:56.582,"1gpqqpOxMB5otpRnTId_bYcXTj5GXEu6x","1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf"
32,1025,fotoExisting,https://drive.google.com/file/d/1-PAxzh6z2ymIQLvnM7cyBj2sxrPpWRvN/view?usp=drivesdk,https://drive.google.com/drive/folders/1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf,2026-05-08 13:38:56.582,"1-PAxzh6z2ymIQLvnM7cyBj2sxrPpWRvN","1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf"
33,1025,fotoExisting,https://drive.google.com/file/d/19-tMiFayKPgLCQSagBx5ez8r-2ojpHFv/view?usp=drivesdk,https://drive.google.com/drive/folders/1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf,2026-05-08 13:38:56.582,"19-tMiFayKPgLCQSagBx5ez8r-2ojpHFv","1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf"
34,1025,fotoExisting,https://drive.google.com/file/d/1p-sli2XSzjV2YLder-hrHTCJVmyC6Qsh/view?usp=drivesdk,https://drive.google.com/drive/folders/1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf,2026-05-08 13:38:56.582,"1p-sli2XSzjV2YLder-hrHTCJVmyC6Qsh","1CMuXcTcbuEAmpZN6chgPnYN4j-Fm-bsf"
