"id","nomor_ulok","lingkup_pekerjaan","nama_toko","kode_toko","proyek","cabang","alamat","nama_kontraktor"
1344,VZ01-1603-V056-R,ME,PRAPATAN PANJALIN,,Renovasi,PLUMBON,JL. PANJALIN KIDUL NO.317 RT.01/RW.01 PANJALIN KIDUL KEC. SUMBERJAYA KAB. MAJALENGKA,CV WISNU DWI UTAMA
1345,"1PZ1-2509-0002",Sipil,MEMBULUH BARU,,Alfamart Reguler,PONTIANAK,"JL DESA MEMBULUH BARU, RT 010, DESA MEMBULUH BARU, KEC AIR UPAS, KAB. KETAPANG",CV ELEKTRIKA BERDIKARI
1346,"2SZ1-2509-0004",ME,BUKO PINANGGALUMAN,,Alfamart Reguler,GORONTALO,"JL. TRANS SULAWESI, DS. BUKO, KEC. PINANGGALUMAN, KAB BOLMUT",CV ERKA ARKATAMA
1347,RZ01-2603-0007,Sipil,BONTOSUNGGU GOWA,,Alfamart Reguler,MAKASSAR,Jl. Poros Sungguminasa - Takalar Kel. Bontosunggu Kec. Bajeng Kab. Luwu,CV ABADI TEKNIK
1348,"1GZ1-2604-0001",Sipil,NINDANG BASARANG,,Alfamart Reguler,BANJARMASIN,"JL. BATU NINDAN, BASARANG, KAB. KAPUAS, KAL TENG",CV HANA KARYA
1349,"2SZ1-2603-0005",Sipil,BUSISINGO UTARA,,Alfamart Reguler,GORONTALO,"JL. TRANS SULAWESI, DESA BUSISINGO UTARA,  KEC. SANGKUB, KAB. BOLAANG MONGONDOW UTARA",CV SOLID BANGUN SEJAHTERA
1350,"2SZ1-2603-0005",ME,BUSISINGO UTARA,,Alfamart Reguler,GORONTALO,"JL. TRANS SULAWESI, DESA BUSISINGO UTARA,  KEC. SANGKUB, KAB. BOLAANG MONGONDOW UTARA",CV SOLID BANGUN SEJAHTERA
1351,"1PZ1-2509-0002",ME,MEMBULUH BARU,,Alfamart Reguler,PONTIANAK,"JL DESA MEMBULUH BARU, RT 010, DESA MEMBULUH BARU, KEC. AIR UPAS, KAB. KETAPANG",CV ELEKTRIKA BERDIKARI
1352,VZ01-1603-V056-R,SIPIL,PRAPATAN PANJALIN,-,Perpanjangan,PLUMBON,JL. PANJALIN KIDUL NO.317 RT.01/RW.01 PANJALIN KIDUL KEC. SUMBERJAYA KAB. MAJALENGKA,CV WISNU DWI UTAMA
1353,IZ01-2604-I423-R,SIPIL,SITUWANGI,-,Reguler,CILACAP,JL. RAYA LENGKONG DESA SITUWANGI KEC. RAKIT KAB. BANJARNEGARA,CV SUMBER REJEKI
