nomor_ulok,status,berkas_id,link_pdf,item_count,error
WZ01-2602-0010,success,216,https://drive.google.com/file/d/1nTIDMm5J6xGX-YO0G4Q_AKQRI9Acpvnx/view?usp=drivesdk,69,
WZ01-2602-0019,failed,,,,Data opname_final belum tersedia untuk toko ini
WZ01-2602-0026,success,202,https://drive.google.com/file/d/10znSA_QUrMyo8bH88pZLq08a5GGomA_V/view?usp=drivesdk,54,
WZ01-2604-0010,failed,,,,Masih ada 1 pekerjaan selesai yang belum masuk Opname
YZ01-2604-0004,success,191,https://drive.google.com/file/d/1Ucvjw9AcJaKygjMReAoHdLSdxFFhTTge/view?usp=drivesdk,144,
