id,id_toko,link_pdf,created_at,nomor_ulok,lingkup_pekerjaan,nama_toko,cabang
220,1126,https://drive.google.com/file/d/1fpekrqDHFgShBdMVgCHorS31a7NwobmC/view?usp=drivesdk,2026-05-11 00:00:00,2VZ1-2603-R353-R,ME,AP PETTARANI WAJO,LUWU
221,1125,https://drive.google.com/file/d/1Sa0pUGni1X5lg7iYrbNugb3ed5LVwMNS/view?usp=drivesdk,2026-05-09 00:00:00,2VZ1-2603-R353-R,SIPIL,AP PETTARANI WAJO,LUWU
222,1128,https://drive.google.com/file/d/18yy35paZD8WMe6W1t-EojSuStziHbJbb/view?usp=drivesdk,2026-05-11 00:00:00,2VZ1-2603-R531-R,ME,TANCUNG WAJO,LUWU
223,1127,https://drive.google.com/file/d/1O0EmNmTS4FVYaCXzMExcthFpeqeq5ohO/view?usp=drivesdk,2026-05-09 00:00:00,2VZ1-2603-R531-R,SIPIL,TANCUNG WAJO,LUWU
224,1133,https://drive.google.com/file/d/1PIJDvQ-37Ji9pFgFq5LliZrGxJXcbGg4/view?usp=drivesdk,2026-05-11 00:00:00,2VZ1-2603-R614-R,ME,PANCA RIJANG SIDRAP,LUWU
225,1132,https://drive.google.com/file/d/1F09REHVTrTIXSUA381gTf6qEN0Wiimh2/view?usp=drivesdk,2026-05-11 00:00:00,2VZ1-2603-R614-R,SIPIL,PANCA RIJANG SIDRAP,LUWU
226,1130,https://drive.google.com/file/d/1IulURobafIT7C7s9mJJPb6pv2nU6pzoq/view?usp=drivesdk,2026-05-11 00:00:00,2VZ1-2603-R702-R,ME,ULUGALUNG WAJO,LUWU
227,1129,https://drive.google.com/file/d/18cwQXtT1PxBag3lQIzpIEn7F05g8JN3P/view?usp=drivesdk,2026-05-11 00:00:00,2VZ1-2603-R702-R,SIPIL,ULUGALUNG WAJO,LUWU
181,1494,https://drive.google.com/file/d/1ssl60jh4J06otDNchOpRIafom0jLfIcl/view?usp=drivesdk,2026-06-23 15:23:30.239757,2VZ1-2604-0001-R,ME,KH. MUH. KASIM,LUWU
234,1495,https://drive.google.com/file/d/1XrsTwguNyRci2S5JupLpBIZaOu5VEoDs/view?usp=drivesdk,2026-06-24 00:00:00,2VZ1-2604-0001-R,SIPIL,KH. MUH. KASIM PALOPO,LUWU
