nomor_ulok,status,berkas_id,link_pdf,item_count,error
2VZ1-2603-R353-R,failed,,,,Belum ada pekerjaan pengawasan selesai untuk toko ini
2VZ1-2603-R531-R,failed,,,,Belum ada pekerjaan pengawasan selesai untuk toko ini
2VZ1-2603-R614-R,failed,,,,Belum ada pekerjaan pengawasan selesai untuk toko ini
2VZ1-2603-R702-R,failed,,,,Belum ada pekerjaan pengawasan selesai untuk toko ini
2VZ1-2604-0001-R,success,234,https://drive.google.com/file/d/1VeOx3k4UjyajObsPA0SmoIaE-4SgM5Ev/view?usp=drivesdk,107,
