nomor_ulok,nama_toko,cabang,st_rows,st_pdf_rows,sipil_st_pdfs,me_st_pdfs
HZ01-2604-H070-R,LAMPER TENGAH SMG,SEMARANG,1,1,1,0
IZ01-2602-0001,WIRUN (NEW STORE REG),CILACAP,2,2,1,1
IZ01-2602-0006,KALIDONAN,CILACAP,1,1,0,1
IZ01-2603-0003,RAYA KEMBANG KUNING,CILACAP,2,2,1,1
IZ01-2605-0004,PESAWAHAN KROYA,CILACAP,1,1,1,0
