cabang,nomor_ulok,nama_toko,lingkup_pekerjaan,id_toko,opname_final_id,tipe_opname,aksi,status_opname_final,tanggal_opname_final,opname_item_count,berkas_serah_terima_id,link_pdf_opname,link_pdf_serah_terima
PALEMBANG,PZ01-2605-0009,MERAPI 2,SIPIL,1584,153,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-22,2,,,
PARUNG,1MZ1-2511-0002,JOMBANG CIPUTAT (NEW STORE),ME,921,11,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-07,0,,,
PARUNG,1MZ1-2511-0002,JOMBANG CIPUTAT (NEW STORE),SIPIL,919,264,OPNAME_FINAL,terkunci,Disetujui,2026-04-15,5,,https://drive.google.com/file/d/1EK5dvCVArbLxgDNcuwFOtzFSmHpEulSV/view?usp=drivesdk,
PARUNG,1MZ1-2601-0001,Jl H Jian,SIPIL,929,213,OPNAME,active,Proses KTK/Approval Kontraktor,2026-04-15,3,,,
PARUNG,1MZ1-2603-0002,DS ARIA PUTRA,SIPIL,1743,326,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-30,11,,,
PARUNG,1MZ1-2604-1M8U-R,srengseng sawah 3,SIPIL,1427,204,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-25,7,,,
PEKANBARU,1AZ1-2602-0006-R,MELATI PUTIH PEKANBARU,SIPIL,1251,57,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-01,58,,https://drive.google.com/file/d/1M4tUQoUCididVe3d28ilwOcYpLibJ_iu/view?usp=drivesdk,
PEKANBARU,1AZ1-2604-0003,SOREK RAYA,ME,1407,53,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-28,0,,,
PEKANBARU,1AZ1-2604-0003,SOREK RAYA,SIPIL,1406,54,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-29,0,,,
PEKANBARU,1AZ1-2605-0001,SIMPANG RS. SELASIH,SIPIL,1951,327,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-30,2,,,
PLUMBON,VZ01-2605-0596-R,TUPAREV 70,SIPIL,1735,311,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-29,1,,,
PONTIANAK,1PZ1-2602-0002,DUSUN BALAI KARANGAN,SIPIL,1336,214,OPNAME,active,Proses KTK/Approval Kontraktor,2026-04-27,5,,,
SEMARANG,HZ01-2604-0001,NOTOMUDIGDO KENDAL,SIPIL,1481,62,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-03,1,,,
SIDOARJO,UZ01-2602-0023,RAYA LONTAR,SIPIL,1534,12,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-07,71,,https://drive.google.com/file/d/1gF5nqveWWCsu0ti_CxJH5Cb9_b2lKB3r/view?usp=drivesdk,
SIDOARJO BPN_SMD,UZ01-2605-0009,SMD S PARMAN,SIPIL,2440,328,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-30,1,,,
