cabang,nomor_ulok,nama_toko,lingkup_pekerjaan,id_toko,opname_final_id,tipe_opname,aksi,status_opname_final,tanggal_opname_final,opname_item_count,berkas_serah_terima_id,link_pdf_opname,link_pdf_serah_terima
CILEUNGSI,JZ01-2603-0002,PAHLAWAN REVOLUSI,SIPIL,1195,237,OPNAME,active,Proses KTK/Approval Kontraktor,2026-05-04,3,,,
GORONTALO,2SZ1-2507-0010,DULOMO SELATAN,SIPIL,1163,154,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-22,14,,https://drive.google.com/file/d/1S6GGRscU7epop5je98Dw_GAgtQr15zoE/view?usp=drivesdk,
GORONTALO,2SZ1-2508-0009,HEPUHULAWA LIMBOTO,SIPIL,1582,150,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-22,103,,https://drive.google.com/file/d/1hxqVUukaIxPSuGsSOf0B8D79_ticDwJv/view?usp=drivesdk,
GORONTALO,2SZ1-2509-0004,BUKO PINANGGALUMAN,SIPIL,1343,156,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-22,1,,,
GORONTALO,2SZ1-2511-0005,LIMBA U 1 GORONTALO,SIPIL,1328,151,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-22,4,,https://drive.google.com/file/d/1gsCdvw9p07-S8jDJ9XLO7Gd_G_OdLwsc/view?usp=drivesdk,
GORONTALO,2SZ1-2511-0009-R,BIONTONG BOLMUT,SIPIL,1315,138,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-19,4,,,
GORONTALO,2SZ1-2601-0004,KULANGO BUOL,SIPIL,1879,152,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-22,4,,https://drive.google.com/file/d/12sbv9f1RFNhLYuJxIn-R8JS9EO2-yF1v/view?usp=drivesdk,
GORONTALO,2SZ1-2601-0006,MATINAN BUOL,SIPIL,1857,140,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-19,4,,,
GORONTALO,2SZ1-2601-0010,SULTAN HASANUDIN BUOL,SIPIL,1884,141,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-19,3,,,
GORONTALO,2SZ1-2603-0001-R,DALAPULI BOLMUT,ME,1311,122,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-16,27,,,
GORONTALO,2SZ1-2603-0001-R,DALAPULI BOLMUT,SIPIL,1310,84,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-15,111,,,
GORONTALO,2SZ1-2603-0006,PALELEH BUOL,SIPIL,1431,139,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-19,8,,,
HEAD OFFICE,Z001-2510-0001,TRIAL NIEL,SIPIL,2152,247,OPNAME,active,Proses KTK/Approval Kontraktor,2025-12-11,4,,,
HEAD OFFICE,Z001-2512-0001,EMAS,ME,2140,300,OPNAME_FINAL,terkunci,Disetujui,2026-01-09,3,,https://drive.google.com/file/d/1O7iVsYupCEjrH7dGXbp5YUAXXREVczwk/view?usp=drivesdk,
HEAD OFFICE,Z001-2512-0123,Toko EFG,SIPIL,2155,301,OPNAME_FINAL,terkunci,Disetujui,2025-12-12,10,,https://drive.google.com/file/d/1s1HpsutVWnz-GijlIGfu6ZJyTEPw70Ms/view?usp=drivesdk,
HEAD OFFICE,Z001-2512-D2F4-R,Toko EFG,SIPIL,2160,157,OPNAME,active,Proses KTK/Approval Kontraktor,2026-06-22,1,,,
HEAD OFFICE,Z001-2512-D4D4-R,DADA,SIPIL,2144,248,OPNAME,active,Proses KTK/Approval Kontraktor,2026-01-23,1,,,
HEAD OFFICE,Z001-2601-5252,Duration,SIPIL,1976,303,OPNAME_FINAL,terkunci,Disetujui,2026-01-21,1,,https://drive.google.com/file/d/1F2vUz9N4YoMUBxCCAs3N0FyMSMq9Tpo8/view?usp=drivesdk,
HEAD OFFICE,Z001-2601-6464,GanttRAB,SIPIL,2161,249,OPNAME,active,Proses KTK/Approval Kontraktor,2026-03-16,6,,,
