ULOK,Nama Toko,Cabang,SPK End,ST Date,Has ST,Old Denda Days,Old Denda Amount,New Denda Days,New Denda Amount,Impact Days,Impact Amount,Impact Type,Skipped Days,Skipped Weekends,Skipped Holidays,Explanation
RZ01-2601-0002,"TAENG GOWA",MAKASSAR,2026-03-31,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
UZ01-2512-0003-R,"KH ALI MAS'UD",SIDOARJO,2026-04-02,2026-04-03,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
UZ01-2512-0003-R,"KH ALI MAS'UD",SIDOARJO,2026-04-02,2026-04-03,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1GZ1-2601-0001,"MUARA TAPUS",BANJARMASIN,2026-04-04,,No,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
1GZ1-2601-0001,"MUARA TAPUS",BANJARMASIN,2026-04-04,,No,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
BZ01-2601-0345,"INDIHIANG 58",BANDUNG RAYA,2026-04-05,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
BZ01-2601-0345,"Indihiang 58",BANDUNG RAYA,2026-04-05,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
CZ01-2511-0004,"H. ONDO PASIRSARI",BEKASI,2026-04-06,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
CZ01-2511-0004,"H. ONDO PASIR SARI",BEKASI,2026-04-06,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
BZ01-2602-0004,"BUKIT RAYA",BANDUNG RAYA,2026-04-07,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
BZ01-2602-0004,"BUKIT RAYA",BANDUNG RAYA,2026-04-07,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1GZ1-2601-0002,"PEMBALAH BATUNG",BANJARMASIN,2026-04-07,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1GZ1-2601-0002,"PEMBALAH BATUNG",BANJARMASIN,2026-04-07,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
2VZ1-2603-R353-R,"AP PETTARANI WAJO",LUWU,2026-04-08,2026-05-09,Yes,0,0,30,7500000,30,7500000,INCREASE,0,0,0,"SPK (tidak ada skip)"
2VZ1-2603-R531-R,"TANCUNG WAJO",LUWU,2026-04-08,2026-05-09,Yes,0,0,30,7500000,30,7500000,INCREASE,0,0,0,"SPK (tidak ada skip)"
2VZ1-2603-R702-R,"ULUGALUNG WAJO",LUWU,2026-04-08,2026-05-11,Yes,0,0,32,7500000,32,7500000,INCREASE,0,0,0,"SPK (tidak ada skip)"
2VZ1-2603-R614-R,"PANCA RIJANG SIDRAP",LUWU,2026-04-08,2026-05-11,Yes,0,0,32,7500000,32,7500000,INCREASE,0,0,0,"SPK (tidak ada skip)"
1AZ1-2602-0001,"BERINGIN JAYA KUANSING",PEKANBARU,2026-04-09,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1AZ1-2602-0001,"BERINGIN JAYA KUANSING",PEKANBARU,2026-04-09,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1GZ1-2601-0003,"TRANS JORONG",BANJARMASIN,2026-04-09,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1GZ1-2601-0003,"TRANS JORONG",BANJARMASIN,2026-04-09,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
1GZ1-2601-0004,"GUNUNG SARI",BANJARMASIN,2026-04-10,,No,0,0,0,0,0,0,NO_CHANGE,2,2,0,"SPK+2 (2 weekend)"
1GZ1-2601-0004,"GUNUNG SARI",BANJARMASIN,2026-04-10,,No,0,0,0,0,0,0,NO_CHANGE,2,2,0,"SPK+2 (2 weekend)"
BZ01-2601-0004,"CIGANTANG",BANDUNG RAYA,2026-04-11,,No,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
BZ01-2601-0004,"CIGANTANG",BANDUNG RAYA,2026-04-11,,No,0,0,0,0,0,0,NO_CHANGE,1,1,0,"SPK+1 (1 weekend)"
2JZ1-2512-0004,"MEKARJAYA",CIANJUR,2026-04-12,2026-04-14,Yes,0,0,1,1000000,1,1000000,INCREASE,0,0,0,"SPK (tidak ada skip)"
2JZ1-2512-0004,"MEKARJAYA",CIANJUR,2026-04-12,2026-04-13,Yes,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
LZ01-2602-0004,"BEDILAN 2 BK 11",KOTABUMI,2026-04-12,2026-04-16,Yes,0,0,3,3000000,3,3000000,INCREASE,0,0,0,"SPK (tidak ada skip)"
LZ01-2602-0004,"BEDILAN 2 BK 11",KOTABUMI,2026-04-12,2026-04-16,Yes,0,0,3,3000000,3,3000000,INCREASE,0,0,0,"SPK (tidak ada skip)"
XZ01-2512-0003,"LEMBAH HIJAU",BOGOR,2026-04-13,,No,0,0,0,0,0,0,NO_CHANGE,0,0,0,"SPK (tidak ada skip)"
