id,id_toko,link_pdf,created_at,nomor_ulok,lingkup_pekerjaan,nama_toko,cabang
220,1126,https://drive.google.com/file/d/1fpekrqDHFgShBdMVgCHorS31a7NwobmC/view?usp=drivesdk,2026-05-11 00:00:00,2VZ1-2603-R353-R,ME,AP PETTARANI WAJO,LUWU
221,1125,https://drive.google.com/file/d/1Sa0pUGni1X5lg7iYrbNugb3ed5LVwMNS/view?usp=drivesdk,2026-05-09 00:00:00,2VZ1-2603-R353-R,SIPIL,AP PETTARANI WAJO,LUWU
222,1128,https://drive.google.com/file/d/18yy35paZD8WMe6W1t-EojSuStziHbJbb/view?usp=drivesdk,2026-05-11 00:00:00,2VZ1-2603-R531-R,ME,TANCUNG WAJO,LUWU
223,1127,https://drive.google.com/file/d/1O0EmNmTS4FVYaCXzMExcthFpeqeq5ohO/view?usp=drivesdk,2026-05-09 00:00:00,2VZ1-2603-R531-R,SIPIL,TANCUNG WAJO,LUWU
224,1133,https://drive.google.com/file/d/1PIJDvQ-37Ji9pFgFq5LliZrGxJXcbGg4/view?usp=drivesdk,2026-05-11 00:00:00,2VZ1-2603-R614-R,ME,PANCA RIJANG SIDRAP,LUWU
225,1132,https://drive.google.com/file/d/1F09REHVTrTIXSUA381gTf6qEN0Wiimh2/view?usp=drivesdk,2026-05-11 00:00:00,2VZ1-2603-R614-R,SIPIL,PANCA RIJANG SIDRAP,LUWU
226,1130,https://drive.google.com/file/d/1IulURobafIT7C7s9mJJPb6pv2nU6pzoq/view?usp=drivesdk,2026-05-11 00:00:00,2VZ1-2603-R702-R,ME,ULUGALUNG WAJO,LUWU
227,1129,https://drive.google.com/file/d/18cwQXtT1PxBag3lQIzpIEn7F05g8JN3P/view?usp=drivesdk,2026-05-11 00:00:00,2VZ1-2603-R702-R,SIPIL,ULUGALUNG WAJO,LUWU
181,1494,https://drive.google.com/file/d/1ssl60jh4J06otDNchOpRIafom0jLfIcl/view?usp=drivesdk,2026-06-23 15:23:30.239757,2VZ1-2604-0001-R,ME,KH. MUH. KASIM,LUWU
234,1495,https://drive.google.com/file/d/1XrsTwguNyRci2S5JupLpBIZaOu5VEoDs/view?usp=drivesdk,2026-06-24 00:00:00,2VZ1-2604-0001-R,SIPIL,KH. MUH. KASIM PALOPO,LUWU
53,1630,https://drive.google.com/file/d/1yU8fJGe0MGJ3a29m-VLGzLk6zDWF3-S_/view?usp=drivesdk,2026-06-19 14:48:09.251485,CZ01-2603-0001,ME,APARTEMEN STANDFORD MEIKARTA,BEKASI
50,1627,https://drive.google.com/file/d/1PmNJn2zejW-OQv7lnGbzRADdWjk421Ow/view?usp=drivesdk,2026-06-18 16:20:41.384059,CZ01-2603-0001,SIPIL,APARTEMEN STANDFORD MEIKARTA,BEKASI
179,1828,https://drive.google.com/file/d/1B5E2qhG5yJyasWWFsSxPK1K3IwtrE5Lg/view?usp=drivesdk,2026-06-23 08:20:31.041633,CZ01-2604-0002,ME,TAMAN NAROGONG,BEKASI
180,1430,https://drive.google.com/file/d/1ZtRKphP72ByAO9DFVxILD39NHetNjwV0/view?usp=drivesdk,2026-06-23 14:35:52.464174,CZ01-2604-0002,SIPIL,TAMAN NAROGONG INDAH,BEKASI
118,965,https://drive.google.com/file/d/1wllD7nGIloB3T5JQ-XXSXsypPplVqYWJ/view?usp=drivesdk,2026-05-08 17:07:32,IZ01-2602-0001,ME,WIRUN (NEW STORE REG),CILACAP
117,963,https://drive.google.com/file/d/1z5wTQMS1VBcVbt4xLFu1JikxgoaeQH4o/view?usp=drivesdk,2026-05-08 17:07:32,IZ01-2602-0001,SIPIL,WIRUN (NEW STORE REG),CILACAP
114,1021,https://drive.google.com/file/d/1HDwIVSxOTXkowI_sytu60WYOpDAySrs4/view?usp=drivesdk,2026-05-08 09:54:11,IZ01-2602-0006,ME,KALIDONAN,CILACAP
49,1401,https://drive.google.com/file/d/1KU26l5QpczNaz0p6J6CcnolfphYAwp1M/view?usp=drivesdk,2026-06-15 16:27:56.642763,IZ01-2603-0003,ME,RAYA KEMBANG KUNING,CILACAP
48,1400,https://drive.google.com/file/d/1kpKcpQBvKjpPRp010DPSsG9Ms8E9X380/view?usp=drivesdk,2026-06-16 15:09:28.232883,IZ01-2603-0003,SIPIL,RAYA KEMBANG KUNING,CILACAP
239,1989,https://drive.google.com/file/d/1F3QhieOScoHxrg2WKeXhnrbFiAbcg10G/view?usp=drivesdk,2026-06-30 15:59:23.091117,IZ01-2605-0004,SIPIL,PESAWAHAN KROYA,CILACAP
