nomor_ulok,status,berkas_id,link_pdf,item_count,error
2VZ1-2603-0001,success,182,https://drive.google.com/file/d/1NIprxQwmJRjz_3T6T9xWLiSrE6caaxvd/view?usp=drivesdk,123,
2VZ1-2603-0002-R,failed,,,,Belum ada pekerjaan pengawasan selesai untuk toko ini
2VZ1-2603-0003,failed,,,,Data opname_final belum tersedia untuk toko ini
2VZ1-2603-0004,failed,,,,Belum ada pekerjaan pengawasan selesai untuk toko ini
2VZ1-2603-0006,failed,,,,Belum ada pekerjaan pengawasan selesai untuk toko ini
