nomor_ulok,status,berkas_id,link_pdf,item_count,error
Z001-2512-6969,success,81,https://drive.google.com/file/d/1VZKcuzTgMu_KxzUIeKiT4GHQaw4PdWe_/view?usp=drivesdk,17,
Z001-2601-6565,success,87,https://drive.google.com/file/d/1oNClYMunarTaEAtSng0HFBulrAYm5Vz7/view?usp=drivesdk,11,
Z001-2601-6666,success,82,https://drive.google.com/file/d/1vq6RoxM074NFyhKlD1PsX2YqoouuT3Ym/view?usp=drivesdk,17,
Z001-2603-M890-R,success,204,https://drive.google.com/file/d/1ech_EHmlHwWg2wbsKlzgeYNAe6WFeAXu/view?usp=drivesdk,3,
Z001-2604-0909,success,214,https://drive.google.com/file/d/1yY1lZH_3UfpzIna9LKJkiTr7pAS5RmQA/view?usp=drivesdk,4,
